# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	459
#@/user_id	1b1956fa-e7eb-4c46-9160-185902ff9fc6
a 	啊	c=1 d=1 t=393
a li ba ba 	阿里巴巴	c=1 d=1 t=110
ai zheng 	癌症	c=4 d=4.02432 t=379
ai zheng can si 	癌症慘死	c=1 d=1 t=365
an shi 	暗示	c=1 d=1 t=306
ba 	吧	c=2 d=1.67032 t=451
bai 	百	c=1 d=1 t=175
bai bai 	拜拜	c=1 d=1 t=396
bai du 	百度	c=2 d=1.19691 t=434
ban ben 	版本	c=1 d=1 t=70
ban bu dao 	辦不到	c=1 d=1 t=325
ban nian 	半年	c=1 d=1 t=58
bang 	綁	c=1 d=1 t=414
bei 	被	c=2 d=1.00215 t=454
bei ban qiu 	北半球	c=1 d=1 t=54
bei jian kong 	被監控	c=1 d=1 t=455
bei shan 	被刪	c=1 d=1 t=282
bi 	比	c=2 d=1.96561 t=452
biao xian 	表現	c=1 d=1 t=359
bie ren 	別人	c=0 d=0.1 t=251
bu 	不	c=0 d=0.1 t=296
bu an quan 	不安全	c=1 d=1 t=427
bu dao 	不到	c=1 d=1.09851 t=52
bu diao 	不掉	c=0 d=0.1 t=112
bu gan 	不敢	c=1 d=1 t=369
bu guan 	不管	c=0 d=0.1 t=134
bu guan ni 	不管你	c=1 d=1 t=135
bu jia 	不加	c=1 d=1 t=85
bu li jie 	不理解	c=1 d=1 t=297
bu neng 	不能	c=1 d=1 t=105
bu shi 	不是	c=1 d=1 t=117
bu shu fu 	不舒服	c=0 d=0.1 t=22
bu xi guan 	不習慣	c=0 d=0.1 t=40
bu zhuang 	不裝	c=0 d=0.1 t=139
cai 	才	c=0 d=0.1 t=307
cai jue de 	才覺得	c=1 d=1 t=308
can si 	慘死	c=0 d=0.1 t=364
cang 	倉	c=0 d=0.1 t=9
cang yue pin yin 	倉月拼音	c=1 d=1 t=10
cha kan 	查看	c=1 d=1 t=440
cha qu 	插曲	c=1 d=1 t=155
cha ru 	插入	c=1 d=1 t=229
chang qi 	長期	c=1 d=1 t=354
chao 	超	c=0 d=0.1 t=202
chao nuan he 	超暖和	c=1 d=1 t=203
chu 	出	c=1 d=1 t=191
chu chan 	出產	c=1 d=1 t=101
chuan 	穿	c=1 d=1 t=216
cong 	從	c=1 d=1 t=220
da jia 	大家	c=0 d=0.1 t=23
da kai 	打開	c=1 d=1 t=438
da tiao 	大條	c=2 d=1.8825 t=275
dang 	當	c=0 d=0.1 t=38
dang qian 	當前	c=2 d=1.97531 t=93
dang zhen 	當真	c=0 d=0.1 t=32
dang zhen ou 	當真偶	c=1 d=1 t=33
dang zhen tou 	當枕頭	c=2 d=1.97045 t=45
dao 	到	c=0 d=0.1 t=66
dao de 	道德	c=1 d=1 t=124
de 	的	c=23 d=8.50884 t=432
de da jia 	的大家	c=1 d=1 t=24
de le 	得了	c=1 d=1 t=367
de wen 	德文	c=1 d=1 t=19
de xing 	德行	c=1 d=1 t=301
di gui 	遞歸	c=1 d=1 t=97
dian zi she bei 	電子設備	c=1 d=1 t=425
diao jin 	掉進	c=0 d=0.1 t=333
diao jin keng 	掉進坑	c=1 d=1 t=334
diu lian 	丟臉	c=1 d=1 t=309
dou 	都	c=3 d=2.20819 t=410
dou hen 	都很	c=1 d=1 t=426
dou hui 	都會	c=1 d=1 t=206
dou shi 	都是	c=1 d=1 t=225
dou yi yang 	都一樣	c=1 d=1 t=142
